Date,State,State_Code,District,District_Code,Confirmed,Active,Recovered,Deceased,Under_Observation,Home_Isolation,Symptomatic_Hospitalized,Symptomatic_Hospitalized_Today
14-02-2020,Kerala,32,Malappuram,592,0,0,0,0,269,268,1,22
14-02-2020,Kerala,32,Kozhikode,591,0,0,0,0,239,236,3,11
14-02-2020,Kerala,32,Wayanad,590,0,0,0,0,50,50,0,2
14-02-2020,Kerala,32,Kannur,589,0,0,0,0,195,194,1,11
14-02-2020,Kerala,32,Kasaragod,588,1,1,0,0,82,81,1,0
15-02-2020,Kerala,32,Thiruvananthapuram,601,0,0,0,0,293,288,5,8
15-02-2020,Kerala,32,Kollam,600,0,0,0,0,167,166,1,9
15-02-2020,Kerala,32,Pathanamthitta,599,0,0,0,0,49,49,0,6
15-02-2020,Kerala,32,Idukki,596,0,0,0,0,27,27,0,0
15-02-2020,Kerala,32,Kottayam,597,0,0,0,0,78,78,0,9
15-02-2020,Kerala,32,Alappuzha,598,1,1,0,0,170,170,0,0
15-02-2020,Kerala,32,Ernakulam,595,0,0,0,0,325,323,2,6
15-02-2020,Kerala,32,Thrissur,594,1,1,0,0,185,182,3,16
15-02-2020,Kerala,32,Palakkad,593,0,0,0,0,115,115,0,4
15-02-2020,Kerala,32,Malappuram,592,0,0,0,0,253,252,1,17
15-02-2020,Kerala,32,Kozhikode,591,0,0,0,0,223,221,2,18
15-02-2020,Kerala,32,Wayanad,590,0,0,0,0,52,52,0,3
15-02-2020,Kerala,32,Kannur,589,0,0,0,0,196,195,1,10
15-02-2020,Kerala,32,Kasaragod,588,1,0,1,0,77,76,1,5
16-02-2020,Kerala,32,Thiruvananthapuram,601,0,0,0,0,388,384,4,4
16-02-2020,Kerala,32,Kollam,600,0,0,0,0,164,164,0,5
16-02-2020,Kerala,32,Pathanamthitta,599,0,0,0,0,43,43,0,6
16-02-2020,Kerala,32,Idukki,596,0,0,0,0,27,27,0,0
16-02-2020,Kerala,32,Kottayam,597,0,0,0,0,78,78,0,0
16-02-2020,Kerala,32,Alappuzha,598,1,0,1,0,172,172,0,0
16-02-2020,Kerala,32,Ernakulam,595,0,0,0,0,328,326,2,0
16-02-2020,Kerala,32,Thrissur,594,1,1,0,0,183,179,4,3
16-02-2020,Kerala,32,Palakkad,593,0,0,0,0,111,111,0,4
16-02-2020,Kerala,32,Malappuram,592,0,0,0,0,242,241,1,12
16-02-2020,Kerala,32,Kozhikode,591,0,0,0,0,222,220,2,1
16-02-2020,Kerala,32,Wayanad,590,0,0,0,0,51,51,0,1
16-02-2020,Kerala,32,Kannur,589,0,0,0,0,196,195,1,0
16-02-2020,Kerala,32,Kasaragod,588,1,0,1,0,71,71,0,6
17-02-2020,Kerala,32,Thiruvananthapuram,601,0,0,0,0,401,397,4,31
17-02-2020,Kerala,32,Kollam,600,0,0,0,0,156,156,0,8
17-02-2020,Kerala,32,Pathanamthitta,599,0,0,0,0,44,44,0,1
17-02-2020,Kerala,32,Idukki,596,0,0,0,0,27,27,0,0
17-02-2020,Kerala,32,Kottayam,597,0,0,0,0,76,76,0,3
17-02-2020,Kerala,32,Alappuzha,598,1,0,1,0,172,172,0,0
17-02-2020,Kerala,32,Ernakulam,595,0,0,0,0,323,323,0,14
17-02-2020,Kerala,32,Thrissur,594,1,1,0,0,179,175,4,12
17-02-2020,Kerala,32,Palakkad,593,0,0,0,0,109,109,0,8
17-02-2020,Kerala,32,Malappuram,592,0,0,0,0,243,240,3,7
17-02-2020,Kerala,32,Kozhikode,591,0,0,0,0,202,200,2,22
17-02-2020,Kerala,32,Wayanad,590,0,0,0,0,54,54,0,0
17-02-2020,Kerala,32,Kannur,589,0,0,0,0,193,193,0,10
17-02-2020,Kerala,32,Kasaragod,588,1,0,1,0,67,67,0,4
18-02-2020,Kerala,32,Thiruvananthapuram,601,0,0,0,0,421,419,2,3
18-02-2020,Kerala,32,Kollam,600,0,0,0,0,154,154,0,3
18-02-2020,Kerala,32,Pathanamthitta,599,0,0,0,0,40,40,0,4
18-02-2020,Kerala,32,Idukki,596,0,0,0,0,24,24,0,3
18-02-2020,Kerala,32,Kottayam,597,0,0,0,0,75,75,0,2
